                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0494,                 4.2219,                 2.5192,                0.00752,                0.24826,                0.01307,                 0.0022,                 1.8737,                 4.0745,                  1.806,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.0036,                 4.2587,                 2.4202,                0.00761,                0.27951,                 0.0144,                0.00305,                 1.8874,                 4.0659,                 1.7939,             2.4965e-05,             2.4965e-05,             2.4965e-05
                      3,                   2.81,                 4.1982,                 2.3669,                0.00674,                0.29688,                0.01905,                0.00387,                 1.9678,                 4.0531,                 1.7978,             4.1568e-05,             4.1568e-05,             4.1568e-05
                      4,                  2.579,                 4.1493,                 2.1313,                0.00952,                0.34028,                0.06985,                0.00914,                 2.0717,                 4.0208,                 1.8334,             5.8137e-05,             5.8137e-05,             5.8137e-05
                      5,                  2.384,                 4.1451,                 1.9923,                0.01486,                0.47049,                0.14318,                0.02187,                 2.1329,                 3.9372,                 1.8929,             7.4673e-05,             7.4673e-05,             7.4673e-05
                      6,                 2.1004,                 4.0319,                 1.8443,                 0.0133,                0.48438,                0.15994,                0.04393,                 2.1755,                 3.8458,                 1.9638,             9.1176e-05,             9.1176e-05,             9.1176e-05
                      7,                 1.9689,                  3.901,                 1.6988,                0.01298,                    0.5,                0.21281,                0.07408,                 2.2025,                 3.8574,                 1.9475,             0.00010765,             0.00010765,             0.00010765
                      8,                 1.8293,                 3.7457,                 1.6304,                 0.0162,                 0.5625,                0.23269,                0.13026,                 1.9381,                 3.8187,                  1.674,             0.00012408,             0.00012408,             0.00012408
                      9,                 1.7302,                 3.6269,                 1.5606,                0.01705,                0.60938,                0.26183,                0.14526,                 1.8328,                 3.7576,                 1.5575,             0.00014049,             0.00014049,             0.00014049
                     10,                 1.6553,                 3.5544,                 1.5034,                0.01671,                0.60938,                0.27743,                 0.1566,                 1.7086,                 3.7057,                  1.455,             0.00015686,             0.00015686,             0.00015686
                     11,                 1.6543,                 3.4775,                 1.4825,                0.01809,                0.64062,                0.28061,                0.16151,                 1.5868,                 3.6561,                  1.362,              0.0001732,              0.0001732,              0.0001732
                     12,                 1.5941,                 3.3358,                 1.4348,                0.02136,                0.71875,                0.30555,                0.18938,                 1.4726,                 3.5973,                 1.3077,              0.0001895,              0.0001895,              0.0001895
                     13,                 1.6173,                 3.2633,                 1.4303,                0.02195,                0.73438,                0.33744,                0.21753,                 1.3958,                 3.5147,                 1.2604,             0.00020578,             0.00020578,             0.00020578
                     14,                 1.6124,                 3.1148,                 1.4152,                0.02205,                0.73438,                0.32226,                0.20972,                 1.4016,                 3.4303,                 1.2408,             0.00022202,             0.00022202,             0.00022202
                     15,                 1.5137,                 2.9575,                 1.3696,                0.02117,                 0.6875,                0.34779,                0.21308,                 1.4056,                 3.3712,                 1.2587,             0.00023822,             0.00023822,             0.00023822
                     16,                 1.5403,                 2.8039,                 1.3937,                0.02199,                0.71875,                 0.3705,                0.22626,                 1.3204,                 3.3121,                 1.2578,              0.0002544,              0.0002544,              0.0002544
                     17,                 1.5319,                 2.6697,                 1.3632,                0.02421,                   0.75,                   0.43,                0.26512,                 1.3009,                 3.1861,                 1.2715,             0.00027054,             0.00027054,             0.00027054
                     18,                 1.4765,                 2.4687,                 1.3471,                0.57308,                0.38056,                0.47063,                 0.2947,                 1.2504,                 3.1046,                 1.3031,             0.00028664,             0.00028664,             0.00028664
                     19,                 1.4412,                 2.3871,                 1.3047,                0.64806,                0.36111,                  0.464,                0.26562,                 1.3835,                   3.09,                 1.3792,             0.00030272,             0.00030272,             0.00030272
                     20,                 1.4776,                 2.2588,                  1.322,                0.86162,                0.31158,                0.52201,                0.29287,                 1.5649,                   3.11,                 1.3892,             0.00031876,             0.00031876,             0.00031876
                     21,                 1.4733,                 2.2409,                 1.3105,                 0.9039,                0.17708,                0.54549,                0.29787,                 1.7006,                 3.0758,                 1.4166,             0.00033477,             0.00033477,             0.00033477
                     22,                 1.3304,                 2.1648,                 1.2771,                0.81895,                 0.3977,                0.56764,                0.29412,                 1.7438,                 3.0015,                 1.4033,             0.00035074,             0.00035074,             0.00035074
                     23,                 1.3478,                 1.8588,                  1.281,                0.47632,                0.49739,                0.54738,                0.24629,                 2.0797,                 3.1044,                 1.5257,             0.00036669,             0.00036669,             0.00036669
                     24,                 1.3324,                 1.9448,                 1.2577,                0.88301,                0.28963,                0.46179,                0.16896,                 2.3689,                 3.1748,                 1.7211,              0.0003826,              0.0003826,              0.0003826
                     25,                 1.3841,                  1.777,                 1.2787,                 0.9212,                 0.1824,                0.36644,                 0.1526,                 2.2879,                 3.2067,                 1.7965,             0.00039847,             0.00039847,             0.00039847
                     26,                 1.3864,                 1.8707,                 1.2752,                0.96179,                0.21249,                0.39103,                0.21231,                 2.0646,                 3.1071,                 1.7327,             0.00041432,             0.00041432,             0.00041432
                     27,                 1.3768,                 1.8057,                 1.3086,                 0.9564,                0.22049,                0.42651,                0.23309,                 1.8737,                 2.9382,                  1.606,             0.00043013,             0.00043013,             0.00043013
                     28,                 1.3531,                 1.7134,                 1.2645,                 0.9564,                0.22049,                0.42651,                0.23309,                 1.8737,                 2.9382,                  1.606,              0.0004459,              0.0004459,              0.0004459
                     29,                 1.3188,                  1.621,                 1.2782,                0.82697,                0.23525,                0.40875,                0.22418,                 1.8064,                 2.8855,                 1.6015,             0.00046165,             0.00046165,             0.00046165
                     30,                 1.3905,                 1.6444,                 1.2729,                0.77925,                0.28906,                0.48199,                0.25996,                 1.6934,                  2.715,                 1.5328,             0.00047736,             0.00047736,             0.00047736
                     31,                 1.3266,                 1.5723,                 1.2541,                0.77925,                0.28906,                0.48199,                0.25996,                 1.6934,                  2.715,                 1.5328,             0.00049304,             0.00049304,             0.00049304
                     32,                 1.2721,                 1.5295,                 1.2514,                0.81637,                0.26965,                0.50575,                0.27723,                  1.689,                 2.6072,                 1.4968,             0.00050868,             0.00050868,             0.00050868
                     33,                 1.2452,                 1.5291,                 1.2399,                0.75173,                0.31719,                0.49946,                0.27747,                 1.7272,                 2.5689,                 1.5084,              0.0005243,              0.0005243,              0.0005243
                     34,                 1.2649,                 1.4035,                 1.2273,                0.75173,                0.31719,                0.49946,                0.27747,                 1.7272,                 2.5689,                 1.5084,             0.00053988,             0.00053988,             0.00053988
                     35,                 1.2244,                 1.3773,                 1.2274,                0.77308,                0.34758,                0.56298,                0.32438,                 1.6502,                 2.4249,                 1.4634,             0.00055542,             0.00055542,             0.00055542
                     36,                 1.2262,                 1.3522,                 1.2326,                0.81492,                0.51142,                0.67131,                0.40766,                 1.6661,                 2.3118,                 1.4454,             0.00057094,             0.00057094,             0.00057094
                     37,                 1.1558,                 1.2736,                 1.2104,                0.81492,                0.51142,                0.67131,                0.40766,                 1.6661,                 2.3118,                 1.4454,             0.00058642,             0.00058642,             0.00058642
                     38,                 1.1848,                 1.3307,                 1.2175,                0.73131,                0.55471,                0.73586,                0.39543,                 1.7738,                   2.33,                 1.4665,             0.00060187,             0.00060187,             0.00060187
                     39,                 1.3553,                 1.3241,                 1.2163,                0.71039,                0.66389,                   0.79,                0.40742,                 1.8245,                 2.1125,                 1.4655,             0.00061728,             0.00061728,             0.00061728
                     40,                 1.2394,                 1.2619,                 1.2366,                0.71039,                0.66389,                   0.79,                0.40742,                 1.8245,                 2.1125,                 1.4655,             0.00063266,             0.00063266,             0.00063266
                     41,                 1.2446,                 1.2533,                 1.2326,                0.75137,                0.76583,                 0.8238,                0.46251,                 1.7003,                 1.7658,                 1.4314,             0.00064801,             0.00064801,             0.00064801
                     42,                 1.2519,                 1.2092,                 1.2273,                0.71593,                0.75542,                  0.804,                0.47709,                 1.6011,                  1.643,                 1.4218,             0.00066333,             0.00066333,             0.00066333
                     43,                 1.1904,                    1.2,                 1.1869,                0.71593,                0.75542,                  0.804,                0.47709,                 1.6011,                  1.643,                 1.4218,             0.00067861,             0.00067861,             0.00067861
                     44,                 1.1799,                 1.1751,                 1.2027,                0.70445,                0.73211,                0.78758,                0.46439,                 1.6387,                 1.6425,                 1.4597,             0.00069386,             0.00069386,             0.00069386
                     45,                 1.2343,                  1.142,                 1.2029,                0.70445,                0.73211,                0.78758,                0.46439,                 1.6387,                 1.6425,                 1.4597,             0.00070908,             0.00070908,             0.00070908
